Projections	Frames	Exposure(ms)
180	1	2829.00
Projection	Angle(deg)	Time(s)
1	001.7930	002.8223
2	003.7866	005.6496
3	005.7908	008.4789
4	007.7947	011.3076
5	009.7886	014.1367
6	011.7927	016.9657
7	013.7866	019.7952
8	015.7905	022.6242
9	017.7947	025.4532
10	019.7883	028.2823
11	021.7927	031.1114
12	023.7859	033.9406
13	025.7905	036.7694
14	027.7944	039.5986
15	029.7881	042.4279
16	031.7922	045.2571
17	033.7856	048.0861
18	035.7900	050.9151
19	037.7942	053.7442
20	039.7881	056.5736
21	041.7920	059.4026
22	043.7856	062.2315
23	045.7898	065.0609
24	047.7940	067.8897
25	049.7878	070.7189
26	051.7918	073.5482
27	053.7957	076.3775
28	055.7900	079.2066
29	057.7940	082.0357
30	059.7878	084.8649
31	061.7922	087.6940
32	063.7954	090.5231
33	065.7900	093.3525
34	067.7944	096.1816
35	069.7881	099.0107
36	071.7920	101.8391
37	073.7952	104.6682
38	075.7898	107.4971
39	077.7940	110.3264
40	079.7878	113.1554
41	081.7922	115.9848
42	083.7949	118.8138
43	085.7898	121.6438
44	087.7944	124.4721
45	089.7878	127.3010
46	091.7920	130.1301
47	093.7947	132.9595
48	095.7900	135.7886
49	097.7942	138.6174
50	099.7881	141.4463
51	101.7922	144.2756
52	103.7944	147.1049
53	105.7903	149.9338
54	107.7942	152.7634
55	109.7961	155.5938
56	111.7922	158.4212
57	113.7942	161.2503
58	115.7900	164.0793
59	117.7942	166.9084
60	119.7881	169.7375
61	121.7922	172.5667
62	123.7939	175.3957
63	125.7900	178.2251
64	127.7942	181.0547
65	129.7957	183.8833
66	131.7922	186.7126
67	133.7937	189.5413
68	135.7900	192.3704
69	137.7942	195.1995
70	139.7957	198.0285
71	141.7922	200.8579
72	143.7935	203.6872
73	145.7903	206.5166
74	147.7944	209.3455
75	149.7957	212.1747
76	151.7922	215.0038
77	153.7964	217.8329
78	155.7900	220.6620
79	157.7944	223.4915
80	159.7949	226.3207
81	161.7922	229.1491
82	163.7927	231.9779
83	165.7905	234.8071
84	167.7947	237.6363
85	169.7947	240.4655
86	171.7922	243.2945
87	173.7971	246.1249
88	175.7903	248.9530
89	177.7944	251.7816
90	179.7944	254.6108
91	181.7922	257.4399
92	183.7922	260.2694
93	185.7903	263.0984
94	187.7944	265.9272
95	189.7942	268.7562
96	191.7927	271.5854
97	193.7920	274.4147
98	195.7905	277.2438
99	197.7944	280.0728
100	199.7939	282.9018
101	201.7925	285.7310
102	203.7917	288.5600
103	205.7961	291.3893
104	207.7947	294.2184
105	209.7937	297.0474
106	211.7927	299.8764
107	213.7913	302.7057
108	215.7957	305.5347
109	217.7947	308.3640
110	219.7935	311.1929
111	221.7925	314.0220
112	223.7913	316.8512
113	225.7954	319.6809
114	227.7949	322.5094
115	229.7930	325.3387
116	231.7927	328.1676
117	233.7908	330.9973
118	235.7949	333.8262
119	237.7947	336.6555
120	239.7930	339.4858
121	241.7971	342.3138
122	243.7908	345.1427
123	245.7949	347.9720
124	247.7947	350.8015
125	249.7927	353.6303
126	251.7930	356.4593
127	253.7905	359.2878
128	255.7947	362.1169
129	257.7947	364.9464
130	259.7925	367.7751
131	261.7964	370.6058
132	263.7905	373.4335
133	265.7942	376.2629
134	267.7949	379.0917
135	269.7917	381.9207
136	271.7961	384.7498
137	273.7898	387.5793
138	275.7937	390.4081
139	277.7949	393.2372
140	279.7917	396.0672
141	281.7959	398.8953
142	283.7898	401.7242
143	285.7937	404.5534
144	287.7952	407.3827
145	289.7915	410.2120
146	291.7957	413.0406
147	293.7893	415.8701
148	295.7935	418.6992
149	297.7949	421.5282
150	299.7913	424.3571
151	301.7954	427.1864
152	303.7976	430.0174
153	305.7932	432.8446
154	307.7949	435.6740
155	309.7910	438.5026
156	311.7952	441.3320
157	313.7888	444.1610
158	315.7927	446.9900
159	317.7949	449.8191
160	319.7908	452.6483
161	321.7947	455.4775
162	323.7883	458.3068
163	325.7927	461.1375
164	327.7952	463.9652
165	329.7905	466.7943
166	331.7944	469.6232
167	333.7881	472.4524
168	335.7925	475.2815
169	337.7964	478.1111
170	339.7900	480.9401
171	341.7942	483.7693
172	343.7881	486.5978
173	345.7922	489.4268
174	347.7964	492.2562
175	349.7903	495.0849
176	351.7942	497.9141
177	353.7878	500.7432
178	355.7917	503.5723
179	357.7959	506.4015
180	359.7896	509.2308
181	361.7937	512.0596
